familia,variable,original,etiqueta,categorias,construida_desde,uso
Original,comper_costos_medidas,COSTOS_MEDIDAS,"En los últimos doce meses ¿cuánto dinero en total ha gastado su hogar en medidas de seguridad? Considerar lo invertido en seguridad de su vivienda, automóvil y en conjunto a las personas de su barrio. Sumar todos los costos de estas medidas.",1 = Menos de $50.000; 2 = De $50.001 a $200.000; 3 = De $200.001 a $500.000; 4 = De $500.001 a $1.000.000; 5 = De $1.000.001 y más; 85 = No ha gastado en medidas de seguridad; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,comper_gasto
Original,comgen_medidas_perro,MEDIDAS_PERRO,Indique el o los elementos de seguridad que dispone su vivienda o edificio. Perro u otro animal con fines de protección del inmueble,0 = No; 1 = Sí; 96 = Sin dato,NA,comgen_per_pct_cat
Original,comgen_medidas_alarma_privada,MEDIDAS_ALARMA_PRIVADA,Indique el o los elementos de seguridad que dispone su vivienda o edificio. Alarma instalada por empresa de seguridad,0 = No; 1 = Sí; 96 = Sin dato,NA,comgen_per_pct_cat
Original,comgen_medidas_camaras_vigilancia,MEDIDAS_CAMARAS_VIGILANCIA,Indique el o los elementos de seguridad que dispone su vivienda o edificio. Cámaras de vigilancia,0 = No; 1 = Sí; 96 = Sin dato,NA,comgen_per_pct_cat
Original,comgen_medidas_rejas,MEDIDAS_REJAS,Indique el o los elementos de seguridad que dispone su vivienda o edificio. Rejas u otro tipo de protecciones en puertas y ventanas,0 = No; 1 = Sí; 96 = Sin dato,NA,comgen_per_pct_cat
Original,comgen_medidas_cerco,MEDIDAS_CERCO,Indique el o los elementos de seguridad que dispone su vivienda o edificio. Cerco eléctrico en reja o muro perimetral de la propiedad,0 = No; 1 = Sí; 96 = Sin dato,NA,comgen_per_pct_cat
Original,comgen_medidas_proteccion,MEDIDAS_PROTECCION,Indique el o los elementos de seguridad que dispone su vivienda o edificio. Protecciones no eléctricas en reja o muro de la propiedad,0 = No; 1 = Sí; 96 = Sin dato,NA,comgen_per_pct_cat
Original,comgen_medidas_seguro,MEDIDAS_SEGURO,Indique el o los elementos de seguridad que dispone su vivienda o edificio. Seguro de cadena y/o cerradura de seguridad,0 = No; 1 = Sí; 96 = Sin dato,NA,comgen_per_pct_cat
Original,comgen_medidas_foco,MEDIDAS_FOCO,Indique el o los elementos de seguridad que dispone su vivienda o edificio. Foco lumínico con sensor de movimiento,0 = No; 1 = Sí; 96 = Sin dato,NA,comgen_per_pct_cat
Original,comgen_medidas_otro,MEDIDAS_OTRO,Indique el o los elementos de seguridad que dispone su vivienda o edificio. Otro elemento de seguridad,0 = No; 1 = Sí; 96 = Sin dato,NA,comgen_per_pct_cat
